title,legal_name,slug,short_description,full_description,type,brand,brands,is_official_dealer,country,city,district,address,phone,whatsapp,email,website,instagram,working_hours,latitude,longitude,source_name,source_url,source_checked_at,data_verified,data_status,status,notes
Hyundai Taraz,,hyundai-taraz,Официальный дилер Hyundai в Таразе,Официальный дилерский центр Hyundai в Таразе данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Тараз,,г Тараз улица Тауке Хана 35В,+7 (726) 293 44 44,,,https://hyundai.kz/ru/contacts/,,09:00-20:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Hyundai Kyzylorda,,hyundai-kyzylorda,Официальный дилер Hyundai в Кызылорде,Официальный дилерский центр Hyundai в Кызылорде данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Кызылорда,,г Кызылорда улица Султан Бейбарыс 9А,+7 7242 400 957,,,https://hyundai.kz/ru/contacts/,,09:00-20:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Hyundai Zhayik,,hyundai-zhayik-uralsk,Официальный дилер Hyundai в Уральске,Официальный дилерский центр Hyundai в Уральске данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Уральск,,г Уральск улица Жамбыла 253В,+7 7112 242 002,,,https://hyundai.kz/ru/contacts/,,09:00-20:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Hyundai Petropavlovsk,,hyundai-petropavlovsk,Официальный дилер Hyundai в Петропавловске,Официальный дилерский центр Hyundai в Петропавловске данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Петропавловск,,г Петропавловск улица Евнея Букетова 54Б,+7 700 333 55 51,,,https://hyundai.kz/ru/contacts/,,09:00-20:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Toyota Service Kyzylorda,,toyota-service-kyzylorda,Сервисный центр Toyota в Кызылорде,Официальный сервисный центр Toyota в Кызылорде данные с официального сайта Toyota Kazakhstan,service,Toyota,Toyota,true,Kazakhstan,Кызылорда,,г Кызылорда проспект Астана 105,+7 7242 40 07 77,,info@toyota-service-kyzylorda.kz,https://toyotakz.com/contact/dealers/list,,,,,Toyota Kazakhstan,https://toyotakz.com/contact/dealers/list,2026-05-06,true,verified,published,
Toyota Service Taraz,,toyota-service-taraz,Сервисный центр Toyota в Таразе,Официальный сервисный центр Toyota в Таразе данные с официального сайта Toyota Kazakhstan,service,Toyota,Toyota,true,Kazakhstan,Тараз,,г Тараз улица Тауке хан 24/2,+7 7262 51 52 52,,info@toyota-service-taraz.kz,https://toyotakz.com/contact/dealers/list,,,,,Toyota Kazakhstan,https://toyotakz.com/contact/dealers/list,2026-05-06,true,verified,published,
Aster Астана,,aster-astana-used,Автосалон с пробегом Aster в Астане,Площадка Aster для автомобилей с пробегом адрес и график с официальной страницы Aster,used,,,false,Kazakhstan,Астана,,г Астана проспект Туран 53,,,,https://aster.kz/contacts,,09:00-21:00,,,Aster Kazakhstan,https://aster.kz/contacts,2026-05-06,true,verified,published,На странице контактов нет отдельного телефона филиала
Aster Алматы Апорт,,aster-almaty-aport,Автосалон Aster в Алматы,Автосалон Aster в Алматы адрес и график с официальной страницы Aster,dealership,,,false,Kazakhstan,Алматы,,г Алматы микрорайон Шугыла 317/1,,,,https://aster.kz/contacts,,09:00-21:00,,,Aster Kazakhstan,https://aster.kz/contacts,2026-05-06,true,verified,published,На странице контактов нет отдельного телефона филиала
PITSTOP,,pitstop-almaty-shop,Магазин автозапчастей PITSTOP в Алматы,Розничный автомагазин и подбор запчастей контакты с публичной страницы компании,shop,,,false,Kazakhstan,Алматы,,г Алматы улица Жарокова 39,+7 727 317 35 37,+7 701 997 72 22,,https://pitstopp.kz/?page_id=61,,10:00-19:00,,,PITSTOP,https://pitstopp.kz/?page_id=61,2026-05-06,true,verified,published,
Emex,,emex-astana-parts,Интернет магазин автозапчастей Emex в Астане,Карточка магазина Emex из публичного справочника требуется ручная проверка,parts,,,false,Kazakhstan,Астана,,,,,,https://emex.ru,,,,,2GIS,https://2gis.kz/astana/firm/70000001052298116,2026-05-06,false,needs_review,published,Ограниченный набор данных из справочника
Volkswagen Centre Astana Service,,volkswagen-centre-astana-service,Официальный сервис Volkswagen в Астане,Официальный сервисный центр Volkswagen по данным официальной страницы сервиса,service,Volkswagen,Volkswagen,true,Kazakhstan,Астана,,г Астана улица Кенесары 79/1,+7 (7172) 47 26 66,,,http://volkswagen-astana.kz,,,,,Volkswagen Kazakhstan,https://www.volkswagen.kz/ru/service/service-contact.html,2026-05-06,true,verified,published,
Chery Al-Farabi Алматы,,chery-alfarabi-almaty,Официальный дилер Chery в Алматы,Официальный дилерский центр Chery Al-Farabi в Алматы данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Алматы,,г Алматы ул Аскара Кунаева 12/1,+7 (771) 944 47 00,,reception@chery-alfarabi.kz,https://chery-alfarabi.kz/,,09:00-20:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Almaty Райымбек,,chery-almaty-raymbek,Официальный дилер Chery в Алматы,Официальный дилерский центр Chery на проспекте Райымбека в Алматы данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Алматы,,г Алматы проспект Райымбека 115/23,+7 (701) 000 50 05,,info_almaty@cherymotors.kz,https://chery-almaty.kz/,,09:00-20:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Kuldzhinka Алматы,,chery-kuldzhinka-almaty,Официальный дилер Chery в Алматы,Официальный дилерский центр Chery на Кульджинском тракте в Алматы данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Алматы,,г Алматы Кульджинский тракт 100/1,+7 (702) 881 11 11,,reception.chery@mycar.kz,https://chery-kuldzhinka.kz/,,09:00-21:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Astana Туран,,chery-astana-turan,Официальный дилер Chery в Астане,Официальный дилерский центр Chery на проспекте Туран в Астане данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Астана,,г Астана пр Туран 63,+7 (7172) 95 55 59,,Ast-cma.atz@cherymotors.kz,https://astana.chery.kz,,09:00-20:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Crystal Astana,,chery-crystal-astana,Официальный дилер Chery в Астане,Официальный дилерский центр Chery Crystal на правом берегу Астаны данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Астана,,г Астана ул Таха Хусейна 5,+7 (702) 888 12 21,,chery@crystal-auto.kz,https://chery-crystal-astana.kz,,09:00-20:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Luxcar Шымкент,,chery-luxcar-shymkent,Официальный дилер Chery в Шымкенте,Официальный дилерский центр Chery Luxcar в Шымкенте данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Шымкент,,г Шымкент проспект Тауке хана 330/2,+7 (701) 111 75 75,,Callcenter@nomadcar.kz,https://chery-luxcar.kz/,,09:00-20:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Шымкент,,chery-shymkent,Официальный дилер Chery в Шымкенте,Официальный дилерский центр Chery в Шымкенте данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Шымкент,,г Шымкент Темирлановская трасса 177а,+7 (747) 503 03 03,,info@chery-crystal.kz,https://chery-crystal.kz,,09:00-20:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Костанай,,chery-kostanay,Официальный дилер Chery в Костанае,Официальный дилерский центр Chery в Костанае данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Костанай,,г Костанай пр Абая 66,+7 (7142) 93 13 50,,info@tarlan-auto.kz,https://chery-kostanay.kz/,,09:00-18:30,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Актобе,,chery-aktobe,Официальный дилер Chery в Актобе,Официальный дилерский центр Chery в Актобе данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Актобе,,г Актобе ул Пацаева 90,+7 (771) 025 05 55,,info@chery-aktobe.kz,https://chery-aktobe.kz/,,09:00-20:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Уральск,,chery-uralsk,Официальный дилер Chery в Уральске,Официальный дилерский центр Chery в Уральске данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Уральск,,г Уральск ул Жамбыла 253,+7 (771) 014 88 88,,info@chery-uralsk.kz,https://chery-uralsk.kz/,,09:00-19:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Усть-Каменогорск,,chery-oskemen,Официальный дилер Chery в Усть-Каменогорске,Официальный дилерский центр Chery в Усть-Каменогорске данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Усть-Каменогорск,,г Усть-Каменогорск проспект Каныша Сатпаева 84,+7 (771) 051 55 55,,info@chery-oskemen.kz,https://chery-oskemen.kz/,,09:00-20:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Караганда,,chery-karaganda,Официальный дилер Chery в Караганде,Официальный дилерский центр Chery в Караганде данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Караганда,,г Караганда ул Сарыарка 37/12,+7 (771) 015 22 21,,info@chery-karaganda.kz,https://chery-karaganda.kz/,,09:00-19:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Павлодар,,chery-pavlodar,Официальный дилер Chery в Павлодаре,Официальный дилерский центр Chery в Павлодаре данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Павлодар,,г Павлодар ул Малайсары батыра 7,+7 (705) 164 82 00,,atz@chery-pavlodar.kz,https://chery-pavlodar.kz/,,09:00-19:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Тараз,,chery-taraz,Официальный дилер Chery в Таразе,Официальный дилерский центр Chery в Таразе данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Тараз,,г Тараз ул Тауке Хана 24/2,+7 (7262) 51 08 08,,Callcenter@nomadcar.kz,https://chery-taraz.kz/,,09:00-20:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Кокшетау,,chery-kokshetau,Официальный дилер Chery в Кокшетау,Официальный дилерский центр Chery в Кокшетау данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Кокшетау,,г Кокшетау ул Ташенова 107/1,+7 (771) 180 44 66,,info@chery-kokshetau.kz,https://chery-kokshetau.kz/,,09:00-19:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Актау,,chery-aktau,Официальный дилер Chery в Актау,Официальный дилерский центр Chery в Актау данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Актау,,г Актау Промышленная зона 9 здание 60,+7 (701) 364 06 91,,info@chery-aktau.kz,https://chery-aktau.kz,,09:00-20:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Chery Кызылорда,,chery-kyzylorda,Официальный дилер Chery в Кызылорде,Официальный дилерский центр Chery в Кызылорде данные с официального сайта Chery Kazakhstan,official_dealer,Chery,Chery,true,Kazakhstan,Кызылорда,,г Кызылорда проспект Н Назарбаева 28,+7 (7242) 40-40-04,,call-center@turanauto-kz.kz,https://chery-kyzylorda.kz/,,09:00-19:00,,,Chery Kazakhstan,https://chery.kz/ru/contacts/,2026-05-06,true,verified,published,
Haval Motor Алматы,,haval-motor-almaty,Официальный дилер Haval в Алматы,Официальный дилерский центр Haval Motor в Алматы данные с официального сайта Haval Kazakhstan,official_dealer,Haval,Haval,true,Kazakhstan,Алматы,,г Алматы Аль-Фараби Розыбакиева,+7 (771) 944-44-04,,haval.reception@haval-alfarabi.kz,https://haval-al-farabi.kz/,,09:00-20:00,,,Haval Kazakhstan,https://haval-motor.kz/ru/contacts/,2026-05-06,true,verified,published,
Haval Алматы Райымбек,,haval-almaty-raymbek,Официальный дилер Haval в Алматы,Официальный дилерский центр Haval на проспекте Райымбека в Алматы данные с официального сайта Haval Kazakhstan,official_dealer,Haval,Haval,true,Kazakhstan,Алматы,,г Алматы проспект Райымбека 548/2,+7 (727) 240-40-40,,callcenter@nomadcar.kz,https://haval-qalqaman.kz/,,09:00-20:00,,,Haval Kazakhstan,https://haval-motor.kz/ru/contacts/,2026-05-06,true,verified,published,
Haval Алматы Желтоксан,,haval-almaty-zheltoksan,Официальный дилер Haval в Алматы,Официальный дилерский центр Haval на ул Желтоксан в Алматы данные с официального сайта Haval Kazakhstan,official_dealer,Haval,Haval,true,Kazakhstan,Алматы,,г Алматы ул Желтоксан 15а,+7 (700) 150 22 60,,Haval.adm@virazh.kz,https://haval-almaty.kz,,09:00-20:00,,,Haval Kazakhstan,https://haval-motor.kz/ru/contacts/,2026-05-06,true,verified,published,
Haval Kuldzhinka Алматы,,haval-kuldzhinka-almaty,Официальный дилер Haval в Алматы,Официальный дилерский центр Haval на Кульджинском тракте в Алматы данные с официального сайта Haval Kazakhstan,official_dealer,Haval,Haval,true,Kazakhstan,Алматы,,г Алматы Кульджинский тракт 100/1,+7 (702) 881 11 11,,m.reseptionhaval@mycar.kz,https://haval-kuldzhinka.kz,,09:00-21:00,,,Haval Kazakhstan,https://haval-motor.kz/ru/contacts/,2026-05-06,true,verified,published,
Haval Алматы Тюлькубас,,haval-almaty-tulkybas,Официальный дилер Haval в Алматы,Официальный дилерский центр Haval на ул Тюлькубасская в Алматы данные с официального сайта Haval Kazakhstan,official_dealer,Haval,Haval,true,Kazakhstan,Алматы,,г Алматы ул Тюлькубасская 2,+7 (700) 404 00 74,,reception@haval-suyunbay.kz,https://haval-suyunbay.kz,,09:00-20:00,,,Haval Kazakhstan,https://haval-motor.kz/ru/contacts/,2026-05-06,true,verified,published,
Haval Astana Нурлыжол,,haval-astana-nurlyzhol,Официальный дилер Haval в Астане,Официальный дилерский центр Haval на ул Жургенова в Астане данные с официального сайта Haval Kazakhstan,official_dealer,Haval,Haval,true,Kazakhstan,Астана,,г Астана ул Жургенова 22,+7 (771) 944 45 52,,Atz@haval-nurlyzhol.kz,https://haval.nurlyzhol.kz/,,09:00-20:00,,,Haval Kazakhstan,https://haval-motor.kz/ru/contacts/,2026-05-06,true,verified,published,
Haval Astana Mycar,,haval-astana-mycar,Официальный дилер Haval в Астане,Официальный дилерский центр Haval Mycar в Астане данные с официального сайта Haval Kazakhstan,official_dealer,Haval,Haval,true,Kazakhstan,Астана,,г Астана пр Кабанбай батыра 41,+7 (771) 949 99 00,,astana@mycar.kz,https://haval.mycarastana.kz/,,10:00-21:00,,,Haval Kazakhstan,https://haval-motor.kz/ru/contacts/,2026-05-06,true,verified,published,
Haval Astana Crystal,,haval-astana-crystal,Официальный дилер Haval в Астане,Официальный дилерский центр Haval Crystal в Астане данные с официального сайта Haval Kazakhstan,official_dealer,Haval,Haval,true,Kazakhstan,Астана,,г Астана проспект Туран 93,+7 (778) 870-12-21,,infonursultan@crystal-auto.kz,https://haval-crystal-ast.kz/,,09:00-20:00,,,Haval Kazakhstan,https://haval-motor.kz/ru/contacts/,2026-05-06,true,verified,published,
Haval Luxcar Шымкент,,haval-luxcar-shymkent,Официальный дилер Haval в Шымкенте,Официальный дилерский центр Haval Luxcar в Шымкенте данные с официального сайта Haval Kazakhstan,official_dealer,Haval,Haval,true,Kazakhstan,Шымкент,,г Шымкент проспект Тауке хана 330/2,+7 (701) 155-77-77,,callcenter@nomadcar.kz,https://haval-luxcar.kz,,09:00-20:00,,,Haval Kazakhstan,https://haval-motor.kz/ru/contacts/,2026-05-06,true,verified,published,
Haval Premium Шымкент,,haval-premium-shymkent,Официальный дилер Haval в Шымкенте,Официальный дилерский центр Haval Premium в Шымкенте данные с официального сайта Haval Kazakhstan,official_dealer,Haval,Haval,true,Kazakhstan,Шымкент,,г Шымкент Тамерлановское шоссе 90,+7 (7252) 39-45-45,,callcenter@nomadcar.kz,https://haval-premium-shymkent.kz,,09:00-19:00,,,Haval Kazakhstan,https://haval-motor.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Almaty Аль-Фараби,,byd-alfarabi-almaty,Официальный дилер BYD в Алматы,Официальный дилерский центр BYD на Аль-Фараби в Алматы данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Алматы,,г Алматы ул Казыбек Тауасарулы 3/3,+7 (771) 933 31 13,,info@byd-alfarabi.kz,https://byd-alfarabi.kz/ru/,,09:00-20:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Kuldzhinka Алматы,,byd-kuldzhinka-almaty,Официальный дилер BYD в Алматы,Официальный дилерский центр BYD на Кульджинском тракте в Алматы данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Алматы,,г Алматы Кульджинский тракт 100/1,+7 (702) 881 11 11,,m.receptionBYD@mycar.kz,https://byd-kuldzhinka.kz/,,09:00-21:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Алматы Райымбек,,byd-almaty-raymbek,Официальный дилер BYD в Алматы,Официальный дилерский центр BYD на проспекте Райымбека в Алматы данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Алматы,,г Алматы пр Райымбека 115/23,+7 (771) 944 45 04,,Atz.amt@mycar.kz,https://byd-raiymbek.kz/,,09:00-20:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Astana Туран,,byd-astana-turan,Официальный дилер BYD в Астане,Официальный дилерский центр BYD на проспекте Туран в Астане данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Астана,,г Астана пр Туран 63а,+7 (701) 395 55 50,,byd@byd-turan.kz,https://byd-turan.kz/,,09:00-20:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Astana Mycar,,byd-astana-mycar,Официальный дилер BYD в Астане,Официальный дилерский центр BYD Mycar в Астане данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Астана,,г Астана пр Кабанбай Батыра 41,+7 (771) 944 47 27,,astana@mycar.kz,https://byd.mycarastana.kz/,,10:00-21:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Актау,,byd-aktau,Официальный дилер BYD в Актау,Официальный дилерский центр BYD в Актау данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Актау,,г Актау промзона 9 здание 60/3,+7 (702) 943 27 27,,info@byd-aktau.kz,https://byd-aktau.kz/ru/,,09:00-20:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Актобе,,byd-aktobe,Официальный дилер BYD в Актобе,Официальный дилерский центр BYD в Актобе данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Актобе,,г Актобе Проспект Санкибай батыра 171г,+7 (7132) 94 89 48,,info.byd@kolauto.kz,https://byd-kolauto.kz,,08:30-18:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Караганда,,byd-karaganda,Официальный дилер BYD в Караганде,Официальный дилерский центр BYD в Караганде данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Караганда,,г Караганда улица Сарыарка 37/6,+7 (771) 015 5574,,info@byd-autocity.kz,https://byd-autocity.kz/ru/,,09:00-19:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Костанай,,byd-kostanay,Официальный дилер BYD в Костанае,Официальный дилерский центр BYD в Костанае данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Костанай,,г Костанай пр Абая 66,+7 (7142) 93 13 70,,resender@tarlan-auto.kz,https://byd-kostanay.kz,,09:00-18:30,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Павлодар,,byd-pavlodar,Официальный дилер BYD в Павлодаре,Официальный дилерский центр BYD в Павлодаре данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Павлодар,,г Павлодар Восточный промрайон 143,+7 (708) 088 14 14,,info.byd@apexauto.kz,https://byd-apexauto.kz/ru/,,09:00-20:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Тараз,,byd-taraz,Официальный дилер BYD в Таразе,Официальный дилерский центр BYD в Таразе данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Тараз,,г Тараз р-н Әулиеата ул Ерденбека Ниеткалиева ст-е 100 Н,+7 (778) 300 50 05,,info@byd-taraz.kz,https://byd-taraz.kz,,09:00-20:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
BYD Уральск,,byd-uralsk,Официальный дилер BYD в Уральске,Официальный дилерский центр BYD в Уральске данные с официального сайта BYD Kazakhstan,official_dealer,BYD,BYD,true,Kazakhstan,Уральск,,г Уральск ул Ружейникова 16,+7 (771) 528 11 11,,info@byd-zhayik.kz,https://byd-zhayik.kz,,09:00-18:00,,,BYD Kazakhstan,https://byd-auto.kz/ru/contacts/,2026-05-06,true,verified,published,
